2025-11-04,00:00,07:10,430
2025-11-05,00:00,10:30,630
2025-11-06,01:00,09:00,480
2025-11-07,00:00,07:10,430
2025-11-08,00:00,10:30,630
2025-11-09,01:00,09:00,480
2025-11-10,00:00,07:10,430
2025-11-11,00:00,10:30,630
2025-11-12,01:00,09:00,480
2025-11-13,00:00,07:10,430
2025-11-14,00:00,10:30,630
2025-11-15,01:00,09:00,480
2025-11-16,00:00,07:10,430
2025-11-17,00:00,10:30,630
2025-11-18,01:00,09:00,480
2025-11-19,00:00,07:10,430
2025-11-20,00:00,10:30,630
2025-11-21,01:00,09:00,480
2025-11-22,00:00,07:10,430
2025-11-23,00:00,10:30,630
2025-11-24,01:00,09:00,480
2025-11-25,00:00,07:10,430
2025-11-26,00:00,10:30,630
2025-11-27,01:00,09:00,480
2025-11-28,00:00,07:10,430
2025-11-29,00:00,10:30,630
2025-11-30,01:00,09:00,480
2025-12-01,03:20,09:20,360
2025-12-03,04:30,10:30,360
